,files,son,langue,Box
0,D:/Python/Hiragana/gif\120px-Hiragana_a_stroke_order_animation.gif,a,Hiragana,1
1,D:/Python/Hiragana/gif\120px-Hiragana_chi_stroke_order_animation.gif,chi,Hiragana,1
2,D:/Python/Hiragana/gif\120px-Hiragana_e_stroke_order_animation.gif,e,Hiragana,1
3,D:/Python/Hiragana/gif\120px-Hiragana_ha_stroke_order_animation.gif,ha,Hiragana,1
4,D:/Python/Hiragana/gif\120px-Hiragana_he_stroke_order_animation.gif,he,Hiragana,1
5,D:/Python/Hiragana/gif\120px-Hiragana_hi_stroke_order_animation.gif,hi,Hiragana,1
6,D:/Python/Hiragana/gif\120px-Hiragana_ho_stroke_order_animation.gif,ho,Hiragana,1
7,D:/Python/Hiragana/gif\120px-Hiragana_hu_stroke_order_animation.gif,hu,Hiragana,1
8,D:/Python/Hiragana/gif\120px-Hiragana_i_stroke_order_animation.gif,i,Hiragana,1
9,D:/Python/Hiragana/gif\120px-Hiragana_ka_stroke_order_animation.gif,ka,Hiragana,1
10,D:/Python/Hiragana/gif\120px-Hiragana_ke_stroke_order_animation.gif,ke,Hiragana,1
11,D:/Python/Hiragana/gif\120px-Hiragana_ki_stroke_order_animation.gif,ki,Hiragana,1
12,D:/Python/Hiragana/gif\120px-Hiragana_ko_stroke_order_animation.gif,ko,Hiragana,1
13,D:/Python/Hiragana/gif\120px-Hiragana_ku_stroke_order_animation.gif,ku,Hiragana,1
14,D:/Python/Hiragana/gif\120px-Hiragana_ma_stroke_order_animation.gif,ma,Hiragana,1
15,D:/Python/Hiragana/gif\120px-Hiragana_me_stroke_order_animation.gif,me,Hiragana,1
16,D:/Python/Hiragana/gif\120px-Hiragana_mi_stroke_order_animation.gif,mi,Hiragana,1
17,D:/Python/Hiragana/gif\120px-Hiragana_mo_stroke_order_animation.gif,mo,Hiragana,1
18,D:/Python/Hiragana/gif\120px-Hiragana_mu_stroke_order_animation.gif,mu,Hiragana,1
19,D:/Python/Hiragana/gif\120px-Hiragana_na_stroke_order_animation.gif,na,Hiragana,1
20,D:/Python/Hiragana/gif\120px-Hiragana_ne_stroke_order_animation.gif,ne,Hiragana,1
21,D:/Python/Hiragana/gif\120px-Hiragana_ni_stroke_order_animation.gif,ni,Hiragana,1
22,D:/Python/Hiragana/gif\120px-Hiragana_no_stroke_order_animation.gif,no,Hiragana,1
23,D:/Python/Hiragana/gif\120px-Hiragana_nu_stroke_order_animation.gif,nu,Hiragana,1
24,D:/Python/Hiragana/gif\120px-Hiragana_n_stroke_order_animation.gif,n,Hiragana,1
25,D:/Python/Hiragana/gif\120px-Hiragana_o_stroke_order_animation.gif,o,Hiragana,1
26,D:/Python/Hiragana/gif\120px-Hiragana_ra_stroke_order_animation.gif,ra,Hiragana,1
27,D:/Python/Hiragana/gif\120px-Hiragana_re_stroke_order_animation.gif,re,Hiragana,1
28,D:/Python/Hiragana/gif\120px-Hiragana_ri_stroke_order_animation.gif,ri,Hiragana,1
29,D:/Python/Hiragana/gif\120px-Hiragana_ro_stroke_order_animation.gif,ro,Hiragana,1
30,D:/Python/Hiragana/gif\120px-Hiragana_ru_stroke_order_animation.gif,ru,Hiragana,1
31,D:/Python/Hiragana/gif\120px-Hiragana_sa_stroke_order_animation.gif,sa,Hiragana,1
32,D:/Python/Hiragana/gif\120px-Hiragana_se_stroke_order_animation.gif,se,Hiragana,1
33,D:/Python/Hiragana/gif\120px-Hiragana_shi_stroke_order_animation.gif,shi,Hiragana,1
34,D:/Python/Hiragana/gif\120px-Hiragana_so_stroke_order_animation.gif,so,Hiragana,1
35,D:/Python/Hiragana/gif\120px-Hiragana_su_stroke_order_animation.gif,su,Hiragana,1
36,D:/Python/Hiragana/gif\120px-Hiragana_ta_stroke_order_animation.gif,ta,Hiragana,1
37,D:/Python/Hiragana/gif\120px-Hiragana_te_stroke_order_animation.gif,te,Hiragana,1
38,D:/Python/Hiragana/gif\120px-Hiragana_to_stroke_order_animation.gif,to,Hiragana,1
39,D:/Python/Hiragana/gif\120px-Hiragana_tsu_stroke_order_animation.gif,tsu,Hiragana,1
40,D:/Python/Hiragana/gif\120px-Hiragana_u_stroke_order_animation.gif,u,Hiragana,1
41,D:/Python/Hiragana/gif\120px-Hiragana_wa_stroke_order_animation.gif,wa,Hiragana,1
42,D:/Python/Hiragana/gif\120px-Hiragana_wo_stroke_order_animation.gif,wo,Hiragana,1
43,D:/Python/Hiragana/gif\120px-Hiragana_ya_stroke_order_animation.gif,ya,Hiragana,1
44,D:/Python/Hiragana/gif\120px-Hiragana_yo_stroke_order_animation.gif,yo,Hiragana,1
45,D:/Python/Hiragana/gif\120px-Hiragana_yu_stroke_order_animation.gif,yu,Hiragana,1
46,D:/Python/Hiragana/gif\120px-Katakana_a_stroke_order_animation.gif,a,Katakana,1
47,D:/Python/Hiragana/gif\120px-Katakana_chi_stroke_order_animation.gif,chi,Katakana,1
48,D:/Python/Hiragana/gif\120px-Katakana_e_stroke_order_animation.gif,e,Katakana,1
49,D:/Python/Hiragana/gif\120px-Katakana_fu_stroke_order_animation.gif,fu,Katakana,1
50,D:/Python/Hiragana/gif\120px-Katakana_ha_stroke_order_animation.gif,ha,Katakana,1
51,D:/Python/Hiragana/gif\120px-Katakana_he_stroke_order_animation.gif,he,Katakana,1
52,D:/Python/Hiragana/gif\120px-Katakana_hi_stroke_order_animation.gif,hi,Katakana,1
53,D:/Python/Hiragana/gif\120px-Katakana_ho_stroke_order_animation.gif,ho,Katakana,1
54,D:/Python/Hiragana/gif\120px-Katakana_i_stroke_order_animation.gif,i,Katakana,1
55,D:/Python/Hiragana/gif\120px-Katakana_ka_stroke_order_animation.gif,ka,Katakana,1
56,D:/Python/Hiragana/gif\120px-Katakana_ke_stroke_order_animation.gif,ke,Katakana,1
57,D:/Python/Hiragana/gif\120px-Katakana_ki_stroke_order_animation.gif,ki,Katakana,1
58,D:/Python/Hiragana/gif\120px-Katakana_ko_stroke_order_animation.gif,ko,Katakana,1
59,D:/Python/Hiragana/gif\120px-Katakana_ku_stroke_order_animation.gif,ku,Katakana,1
60,D:/Python/Hiragana/gif\120px-Katakana_ma_stroke_order_animation.gif,ma,Katakana,1
61,D:/Python/Hiragana/gif\120px-Katakana_me_stroke_order_animation.gif,me,Katakana,1
62,D:/Python/Hiragana/gif\120px-Katakana_mi_stroke_order_animation.gif,mi,Katakana,1
63,D:/Python/Hiragana/gif\120px-Katakana_mo_stroke_order_animation.gif,mo,Katakana,1
64,D:/Python/Hiragana/gif\120px-Katakana_mu_stroke_order_animation.gif,mu,Katakana,1
65,D:/Python/Hiragana/gif\120px-Katakana_na_stroke_order_animation.gif,na,Katakana,1
66,D:/Python/Hiragana/gif\120px-Katakana_ne_stroke_order_animation.gif,ne,Katakana,1
67,D:/Python/Hiragana/gif\120px-Katakana_ni_stroke_order_animation.gif,ni,Katakana,1
68,D:/Python/Hiragana/gif\120px-Katakana_no_stroke_order_animation.gif,no,Katakana,1
69,D:/Python/Hiragana/gif\120px-Katakana_nu_stroke_order_animation.gif,nu,Katakana,1
70,D:/Python/Hiragana/gif\120px-Katakana_n_stroke_order_animation.gif,n,Katakana,1
71,D:/Python/Hiragana/gif\120px-Katakana_o_stroke_order_animation.gif,o,Katakana,1
72,D:/Python/Hiragana/gif\120px-Katakana_ra_stroke_order_animation.gif,ra,Katakana,1
73,D:/Python/Hiragana/gif\120px-Katakana_re_stroke_order_animation.gif,re,Katakana,1
74,D:/Python/Hiragana/gif\120px-Katakana_ri_stroke_order_animation.gif,ri,Katakana,1
75,D:/Python/Hiragana/gif\120px-Katakana_ro_stroke_order_animation.gif,ro,Katakana,1
76,D:/Python/Hiragana/gif\120px-Katakana_ru_stroke_order_animation.gif,ru,Katakana,1
77,D:/Python/Hiragana/gif\120px-Katakana_sa_stroke_order_animation.gif,sa,Katakana,1
78,D:/Python/Hiragana/gif\120px-Katakana_se_stroke_order_animation.gif,se,Katakana,1
79,D:/Python/Hiragana/gif\120px-Katakana_shi_stroke_order_animation.gif,shi,Katakana,1
80,D:/Python/Hiragana/gif\120px-Katakana_so_stroke_order_animation.gif,so,Katakana,1
81,D:/Python/Hiragana/gif\120px-Katakana_su_stroke_order_animation.gif,su,Katakana,1
82,D:/Python/Hiragana/gif\120px-Katakana_ta_stroke_order_animation.gif,ta,Katakana,1
83,D:/Python/Hiragana/gif\120px-Katakana_te_stroke_order_animation.gif,te,Katakana,1
84,D:/Python/Hiragana/gif\120px-Katakana_to_stroke_order_animation.gif,to,Katakana,1
85,D:/Python/Hiragana/gif\120px-Katakana_tsu_stroke_order_animation.gif,tsu,Katakana,1
86,D:/Python/Hiragana/gif\120px-Katakana_u_stroke_order_animation.gif,u,Katakana,1
87,D:/Python/Hiragana/gif\120px-Katakana_wa_stroke_order_animation.gif,wa,Katakana,1
88,D:/Python/Hiragana/gif\120px-Katakana_wo_stroke_order_animation.gif,wo,Katakana,1
89,D:/Python/Hiragana/gif\120px-Katakana_ya_stroke_order_animation.gif,ya,Katakana,1
90,D:/Python/Hiragana/gif\120px-Katakana_yo_stroke_order_animation.gif,yo,Katakana,1
91,D:/Python/Hiragana/gif\120px-Katakana_yu_stroke_order_animation.gif,yu,Katakana,1
